category,query,solution
How to Book,How can I book a flight with Air India?,"Booking a flight with Air India is a breeze, and we offer various convenient options to suit your preferences. Choose the method that works best for you:

Website booking: Head to our official website to book your flights online. Enter your travel details, select the flight that suits your plans, provide passenger information, and make a secure online payment.

App booking: Download our app, available for Android(opens in a new tab) and iOS(opens in a new tab) devices. With the app, you can search for flights, compare fares, and make bookings on the go.

Air India ticket counters: For those who like the old-school approach,  visit the  Air India ticketing counter at your nearest airport or head over to a city office near you. Our staff will be happy to assist you in booking flights.

Travel agents: If you prefer face-to-face interaction, visit a local travel agency that partners with Air India. Experienced travel agents can guide you through the booking process and provide expert advice.

No matter the method, booking flights with us is a seamless experience."
How to Book,What are the steps to book an Air India flight online?,"Booking an Air India flight is quite easy, whether you prefer using our website or app:

Initiate your booking: Visit our official website or download our app from the Google Play Store(opens in a new tab) or Apple App Store(opens in a new tab).

Enter trip details: Provide the names of departure and arrival cities, travel dates, and passenger count. Click or tap ‘Search’ to compare available flights.


Select your flight: Review and select a flight based on your preferences, including fare, duration, and layovers.

Provide passenger information: Enter the full and correct names of passengers as appearing on their official travel documents, along with contact details.

Enhance your journey (optional): Personalise your journey by adding extras such as excess baggage, preferred seating, or travel insurance.

Complete payment: Pay for your booking using secure payment options – credit cards, internet banking, RuPay cards, e-wallets, EMI, and Unified Payments Interface (UPI).

Receive confirmation: Upon successful payment, an email will be sent to you containing your booking details and e-ticket.

If you require personalised assistance with booking tickets or have special requests, you can use our Dial-a-Ticket facility by calling +91 1860 233 1407. We’re excited to have you on board!"
How to Book,Can I book a trip with multiple destinations?,"Absolutely, you can book a trip with multiple destinations using our website or app. This feature is designed to accommodate travellers who wish to visit more than one location during their journey.

To book a trip with multiple destinations, visit our official Book Flights page and choose the ‘Multi City’ option instead of ‘One Way’ or ‘Round Trip’. Next, input the cities you wish to visit and specify the travel dates for each leg of your journey.

Review the itinerary to ensure accuracy, then confirm your booking by completing the payment."
How to Book,Is there a time limit for booking tickets online?,"You can take advantage of online booking for our domestic flights up to two hours before departure. For international flights, online booking is available until four hours before the scheduled departure time. Additionally, you can book your flight up to 361 days before any scheduled flight.

We are committed to making your booking experience straightforward and accessible, ensuring you have the information to plan your travels effectively.

Book a Flight"
Passenger Detail,How many passengers can I add in a single booking?,"When booking a flight with us, you can add up to 9 passengers in a single reservation, whether you are booking through our official website or app. This includes adults, children, and infants. Ensure you enter the correct details for each passenger during the booking process.

Book a Flight"
Passenger Detail,How should I enter my name if I don't have a surname?,"If you do not have a surname or last name, enter your single name in the ‘Last Name’ and ‘First Name’ fields.

Example: If your name is John, type John in both fields, so it appears on your ticket as John/John.

Country-specific rules for single names

The US and Canada: If you have a single name (for example, John), please enter your ‘Last Name’ as John and ‘First Name’ as FNU to read as John/FNU.

Australia: If you have a single name (for example, Gayatri), please enter your ‘Last Name’ as Gayatri and ‘First Name’ as Unknown so it appears on your ticket as Gayatri/Unknown.

The UAE: If you have a single name (for example, Sunil), please enter your ‘First Name’ and ‘Last Name’ as Sunil so it appears on your ticket as Sunil/Sunil."
Passenger Detail,How should I enter my name when booking a flight?,"Please write your full name exactly as it appears on the valid identification proof that you will present at the airport. Here are the guidelines for names with different formats:

Format 1: You have a first and last name

Type your first and last name separately in the designated fields.

Example: If your name is John Doe, please write John in the ‘First Name’ field and Doe in the ‘Last Name’ field.  

Format 2: You have a first, middle, and last name

Type your first and middle name in the ‘First Name’ field, separated by a blank space, and your last name in the ‘Last Name’ field.

Example: If your name is John Allen Doe, type John Allen in the ‘First Name’ field and Doe in the ‘Last Name’ field. 

Important

Please do not use any abbreviations and spell out your full name. John D or J Doe will not be accepted.

Please avoid using numeric or special characters such as dashes (-) or single quotes (')."
Passenger Detail,Can I edit my name if I misspell it on a booking?,"We are here to help you fix your misspelt name on a flight booking. You can do any of the following:

Call our customer care number

Raise a request on our customer support portal

Please note that charges may apply for requesting a name change."
Special Bookings,Does Air India offer corporate bookings?,"We recognise the importance of seamless corporate travel and offer a dedicated service for corporate bookings. Our Corporate Travel Programme is tailor-made to cater to the travel needs of businesses and organisations. Key features of the service include:

Customised solutions: Air India recognises that corporate travel often comes with unique requirements. We collaborate closely to tailor solutions that align with your organisation’s preferences and policies.

Specialised fares: Corporate bookings often involve multiple passengers as we extend specialised fare offers to ensure cost-effective travel arrangements for your organisation.

Streamlined booking process: Our dedicated team will assist with bookings for your employees,  managing priority confirmation and any exclusive fares.

For more details about our corporate booking service, including the benefits, procedures, and how your organisation can leverage it, please visit our official Corporate Travel Programme page. "
Special Bookings,How do I book a flight for a large group?,"Booking a flight for a large group with ten or more passengers is easy. Here’s how you can get started:

Raise a request: Write an email to our dedicated team at groupbooking@airindia.com(opens in a new tab) with details about your group’s travel requirements. This includes your name, contact number, dates of travel, desired flight number with origin and destination, number of passengers, and the desired class of travel.

Receive options: After reviewing your group’s needs, a dedicated representative will get back to you within one business day or 24 hours with the available flights, competitive fares, and other details.

Complete the booking:If you are satisfied with the options, you can confirm the group booking with the representative's assistance. They will guide you through the payment process and steps to finalise the reservation.

We are excited to welcome you and your group on board for a memorable journey!"
